Date,Open,High,Low,Close,Volume
2014-08-25,39.985,40.023,39.672,39.781,19196666.0
2014-08-22,39.907,40.048,39.698,39.764,20771476.0
2014-08-21,39.494,39.854,39.484,39.826,25302338.0
2014-08-20,39.933,39.985,39.546,39.589,28102211.0
2014-08-19,39.606,39.933,39.484,39.923,31942816.0
2014-08-18,39.334,39.484,39.108,39.484,30726377.0
2014-08-15,39.02,39.3,38.861,39.203,47540114.0
2014-08-14,38.58,38.879,38.523,38.748,22064425.0
2014-08-13,38.233,38.671,38.091,38.58,26149400.0
2014-08-12,37.671,38.152,37.636,38.091,24485528.0
2014-08-11,37.867,38.029,37.653,37.812,23250325.0
2014-08-08,37.84,37.91,37.56,37.812,33066737.0
2014-08-07,37.497,38.029,37.33,37.84,34634484.0
2014-08-06,37.41,37.786,36.945,37.41,28143988.0
2014-08-05,37.91,38.039,37.49,37.708,30009651.0
2014-08-04,37.61,38.049,37.473,37.959,39158380.0
2014-08-01,37.821,37.86,37.287,37.514,35611759.0
2014-07-31,37.967,38.241,37.708,37.777,36033123.0
2014-07-30,38.572,38.6,37.891,38.146,36470936.0
2014-07-29,38.431,38.59,38.196,38.407,31719158.0
2014-07-28,38.83,38.961,38.449,38.487,33915273.0
2014-07-25,38.775,39.089,38.775,38.951,30547277.0
2014-07-24,39.325,39.387,38.793,38.861,35103128.0
2014-07-23,39.78,39.78,39.054,39.277,59825135.0
2014-07-22,39.387,39.52,39.028,39.24,49198828.0
2014-07-21,39.004,39.528,38.705,39.24,42956712.0
2014-07-18,39.079,39.25,38.731,39.117,49586334.0
2014-07-17,39.78,40.01,38.731,38.978,93882014.0
2014-07-16,37.199,38.783,37.181,38.58,72341789.0
2014-07-15,37.051,37.174,36.787,37.157,32848724.0
2014-07-14,36.954,37.157,36.797,36.884,24999840.0
2014-07-11,36.498,36.843,36.307,36.843,27516665.0
2014-07-10,36.208,36.762,35.93,36.489,24968732.0
2014-07-09,36.71,36.752,36.351,36.471,21074216.0
2014-07-08,36.658,36.762,36.421,36.569,35666400.0
2014-07-07,36.543,36.867,36.507,36.752,25081703.0
2014-07-03,36.693,36.752,36.378,36.588,18244730.0
2014-07-02,36.534,36.677,36.351,36.677,23087950.0
2014-07-01,36.639,36.892,36.489,36.649,30756465.0
2014-06-30,36.908,36.945,36.498,36.498,35187340.0
2014-06-27,36.421,37.019,36.334,36.98,85275550.0
2014-06-26,36.702,36.71,36.262,36.516,26967733.0
2014-06-25,36.498,36.806,36.289,36.787,22906611.0
2014-06-24,36.613,36.71,36.378,36.534,30295712.0
2014-06-23,36.507,36.762,36.489,36.752,21410784.0
2014-06-20,36.254,36.613,36.218,36.481,54570810.0
2014-06-19,36.436,36.561,36.175,36.334,22662932.0
2014-06-18,36.412,36.534,36.045,36.454,30958007.0
2014-06-17,36.141,36.687,35.303,36.481,25727188.0
2014-06-16,35.92,36.421,35.92,36.325,27653896.0
2014-06-13,35.947,36.378,35.763,36.088,30059215.0
2014-06-12,35.719,35.782,35.266,35.518,34068946.0
2014-06-11,35.825,35.947,35.687,35.763,20604208.0
2014-06-10,35.912,36.027,35.763,35.984,17270619.0
2014-06-09,36.262,36.307,35.902,36.123,17150606.0
2014-06-06,36.299,36.463,36.097,36.307,27488833.0
2014-06-05,35.528,36.106,35.36,36.072,36403482.0
2014-06-04,35.194,35.333,34.89,35.293,26517032.0
2014-06-03,35.538,35.606,35.232,35.266,20645082.0
2014-06-02,35.843,35.965,35.606,35.702,21140282.0
2014-05-30,35.405,35.861,35.232,35.834,39500325.0
2014-05-29,35.142,35.316,34.93,35.311,22728413.0
2014-05-28,35.132,35.18,34.854,35.021,29375129.0
2014-05-27,35.202,35.242,34.845,35.18,29888797.0
2014-05-23,35.275,35.333,35.012,35.114,20588152.0
2014-05-22,35.266,35.316,34.881,35.099,23080594.0
2014-05-21,34.837,35.316,34.784,35.316,25590266.0
2014-05-20,34.792,34.958,34.54,34.733,24358893.0
2014-05-19,34.669,34.854,34.54,34.792,28033711.0
2014-05-16,34.723,34.872,34.373,34.863,34122806.0
2014-05-15,35.09,35.36,34.582,34.66,43178203.0
2014-05-14,35.275,35.405,35.056,35.222,21498663.0
2014-05-13,34.94,35.451,34.881,35.377,30852208.0
2014-05-12,34.541,34.784,34.462,34.742,26213776.0
2014-05-09,34.368,34.636,34.216,34.368,34110360.0
2014-05-08,34.193,34.677,33.87,34.452,36958522.0
2014-05-07,34.079,34.343,33.471,34.261,48033952.0
2014-05-06,34.148,34.201,33.853,33.948,31192226.0
